ID,DOSE,TIME,CONC,CPT
1,30,0,0,Brain
1,30,0.25,14.07772,Brain
1,30,0.5,15.86755,Brain
1,30,1,180.7042,Brain
1,30,2,28.22428,Brain
1,30,4,34.93615,Brain
1,30,8,5.593226,Brain
1,30,12,8.536123,Brain
1,30,16,51.62978,Brain
1,30,0,0,Fat
1,30,0.25,445.7371,Fat
1,30,0.5,58.16955,Fat
1,30,1,1634.943,Fat
1,30,2,129.4187,Fat
1,30,4,215.1241,Fat
1,30,8,44.05741,Fat
1,30,12,19.61932,Fat
1,30,16,21.51241,Fat
1,30,0,0,Heart
1,30,0.25,819.1925,Heart
1,30,0.5,1316.559,Heart
1,30,1,5627.646,Heart
1,30,2,1192.648,Heart
1,30,4,514.5768,Heart
1,30,8,271.9168,Heart
1,30,12,30.80577,Heart
1,30,16,32.35466,Heart
1,30,0,0,Intestine
1,30,0.25,2805.218,Intestine
1,30,0.5,1555.777,Intestine
1,30,1,25642.79,Intestine
1,30,2,1789.832,Intestine
1,30,4,1597.081,Intestine
1,30,8,459.505,Intestine
1,30,12,459.505,Intestine
1,30,16,91.55681,Intestine
1,30,0,0,Kidney
1,30,0.25,2822.428,Kidney
1,30,0.5,2633.119,Kidney
1,30,1,17726.22,Kidney
1,30,2,4543.42,Kidney
1,30,4,3717.344,Kidney
1,30,8,829.5185,Kidney
1,30,12,395.8283,Kidney
1,30,16,17.89832,Kidney
1,30,0,0,Liver
1,30,0.25,5851.375,Liver
1,30,0.5,4732.73,Liver
1,30,1,47327.3,Liver
1,30,2,5834.165,Liver
1,30,4,5335.077,Liver
1,30,8,1259.767,Liver
1,30,12,511.1348,Liver
1,30,16,38.72234,Liver
1,30,0,0,Lung
1,30,0.25,134.0653,Lung
1,30,0.5,4250.852,Lung
1,30,1,30977.87,Lung
1,30,2,7813.307,Lung
1,30,4,8157.505,Lung
1,30,8,1197.811,Lung
1,30,12,922.4521,Lung
1,30,16,234.055,Lung
1,30,0,0,Muscle
1,30,0.25,119.9532,Muscle
1,30,0.5,114.446,Muscle
1,30,1,1092.83,Muscle
1,30,2,161.7733,Muscle
1,30,4,164.1827,Muscle
1,30,8,32.69886,Muscle
1,30,12,22.8892,Muscle
1,30,16,14.64565,Muscle
1,30,0,0,Plasma
1,30,0.25,1146.181,Plasma
1,30,0.5,765.8417,Plasma
1,30,1,6470.932,Plasma
1,30,2,1044.643,Plasma
1,30,4,1127.25,Plasma
1,30,8,201.3561,Plasma
1,30,12,111.3482,Plasma
1,30,16,3.028947,Plasma
2,30,0,0,Brain
2,30,0.25,18.24252,Brain
2,30,0.5,37.68974,Brain
2,30,1,137.6794,Brain
2,30,2,118.7485,Brain
2,30,4,48.01569,Brain
2,30,8,14.9038,Brain
2,30,12,7.985406,Brain
2,30,16,24.0939,Brain
2,30,0,0,Fat
2,30,0.25,1134.134,Fat
2,30,0.5,311.4997,Fat
2,30,1,1178.88,Fat
2,30,2,824.3555,Fat
2,30,4,616.1154,Fat
2,30,8,99.64548,Fat
2,30,12,30.63367,Fat
2,30,16,19.96351,Fat
2,30,0,0,Heart
2,30,0.25,984.4078,Heart
2,30,0.5,1653.874,Heart
2,30,1,2977.317,Heart
2,30,2,1502.427,Heart
2,30,4,585.1375,Heart
2,30,8,418.2012,Heart
2,30,12,62.98833,Heart
2,30,16,15.57498,Heart
2,30,0,0,Intestine
2,30,0.25,1690.015,Intestine
2,30,0.5,65397.72,Intestine
2,30,1,27707.98,Intestine
2,30,2,18414.62,Intestine
2,30,4,26159.09,Intestine
2,30,8,1184.043,Intestine
2,30,12,586.8585,Intestine
2,30,16,139.9167,Intestine
2,30,0,0,Kidney
2,30,0.25,2288.92,Kidney
2,30,0.5,8260.765,Kidney
2,30,1,19963.52,Kidney
2,30,2,14404.71,Kidney
2,30,4,8019.826,Kidney
2,30,8,2805.218,Kidney
2,30,12,771.0047,Kidney
2,30,16,0.5782535,Kidney
2,30,0,0,Liver
2,30,0.25,4663.89,Liver
2,30,0.5,19963.52,Liver
2,30,1,41303.82,Liver
2,30,2,25298.59,Liver
2,30,4,11960.9,Liver
2,30,8,2788.008,Liver
2,30,12,1018.828,Liver
2,30,16,34.41985,Liver
2,30,0,0,Lung
2,30,0.25,9861.288,Lung
2,30,0.5,5851.375,Lung
2,30,1,27707.98,Lung
2,30,2,22200.8,Lung
2,30,4,19275.12,Lung
2,30,8,3975.493,Lung
2,30,12,1075.62,Lung
2,30,16,2684.749,Lung
2,30,0,0,Muscle
2,30,0.25,133.0327,Muscle
2,30,0.5,316.6627,Muscle
2,30,1,927.6151,Muscle
2,30,2,910.4052,Muscle
2,30,4,335.5936,Muscle
2,30,8,91.72891,Muscle
2,30,12,44.22951,Muscle
2,30,16,8.346814,Muscle
2,30,0,0,Plasma
2,30,0.25,893.1952,Plasma
2,30,0.5,2512.649,Plasma
2,30,1,4595.05,Plasma
2,30,2,3545.245,Plasma
2,30,4,1332.048,Plasma
2,30,8,504.2509,Plasma
2,30,12,136.991,Plasma
2,30,16,5.094138,Plasma
3,30,0,0,Brain
3,30,0.25,18.58672,Brain
3,30,0.5,20.47981,Brain
3,30,1,72.79799,Brain
3,30,2,32.52676,Brain
3,30,4,21.16821,Brain
3,30,8,19.61932,Brain
