T200,C200,T1000,C1000,T3500,C3500
-0.006278873,195.2435838,-0.003309378,1256.093432,0.009337811,3485.131435
-0.00643987,176.500283,0.05139374,981.6251808,0.064219814,3046.803343
0.081142361,123.312722,0.139458961,928.3297391,0.119119706,2693.641766
0.213034476,99.68642003,0.20532452,793.5981352,0.118744046,2128.465684
0.135684482,87.11646918,0.282263078,701.6538059,0.217918044,2129.057547
0.300920812,84.27350485,0.381222413,613.4819834,0.272656938,1701.576383
0.388807148,71.24364199,0.304158635,641.487953,0.195289056,1470.434091
0.278327602,59.5236456,0.447087971,524.4452886,0.371544719,1422.491796
0.223517153,71.21063634,0.524080194,479.5488897,0.349398722,1329.848071
0.553685708,55.07238321,0.578908531,405.3663524,0.437428166,1229.754151
0.377090163,46.00412574,0.677993086,383.3696129,0.492274392,1051.243337
0.454118163,43.01993865,0.898147196,331.5690942,0.591269504,939.9883849
0.619354492,41.61602327,0.633557983,306.3098678,0.668297504,879.0133928
0.795663821,41.63659825,0.864659872,253.308728,0.668208061,831.0836411
0.608102609,35.96956535,1.184166864,245.1482371,0.756219617,759.960206
0.773338938,34.79573229,0.941616318,226.4866209,0.822246173,718.6552324
0.784161498,30.75868249,0.996462544,193.609878,0.888290617,687.2590757
1.169927596,32.56777292,1.084635096,195.8416205,0.932206952,621.3592736
0.949272608,27.50853477,1.172610875,175.1099438,1.163398284,543.4789266
1.180678601,27.52638646,1.27169543,165.6078039,1.174202954,475.0663895
1.423103928,27.54510064,1.437307419,202.7424889,1.416592504,464.8460693
1.422853488,23.54302373,1.679410752,165.7972049,1.416324176,392.8772563
1.698462034,25.48523907,1.381817206,158.3924058,1.669607839,355.4136477
1.698247372,22.27649666,1.414732097,144.8149476,1.669858278,415.8303881
1.951799362,23.84384989,1.67907087,133.9813419,1.923213495,393.4359514
1.951548923,20.37953432,1.756206201,134.0103181,1.933839281,307.4284975
2.21608447,21.33029472,1.954733081,149.9965429,2.176497158,355.9190673
2.458420354,20.18093384,2.042726748,135.6304542,2.176085722,275.0032122
0.070409245,147.5424172,0.986158752,303.1936915,2.451962595,352.2220277
0.443617597,59.55123441,0.776684093,283.298542,2.451944707,348.2942953
0.872709709,39.37480324,1.95450053,129.6490319,2.683171815,311.5491632
0.949755598,37.23587409,1.524818096,135.4336694,2.682831933,251.7640451
0.663056166,32.88827223,1.766760432,100.1215839,2.947564253,298.1041184
0.531092497,38.89845362,2.218731972,112.1448412,2.947278037,249.1411986
,,2.461228852,117.3694495,3.189488701,217.9209033
,,2.460978413,100.3166324,3.443452128,301.8852301
,,2.73656907,107.3814501,3.431878251,213.2326714
,,2.989870621,98.23734763,3.685269245,206.3250077
,,3.210149951,91.90180605,3.927640906,199.6349502
,,3.463737718,100.59904,4.412938772,264.5944244
,,4.433260139,90.17226171,4.401436449,195.4668785
,,4.653467915,80.65657464,4.897825202,270.9638243
,,4.906787355,74.62035139,4.897270658,191.3976548
,,4.906519027,63.06741275,5.371620745,265.306515
,,5.380654452,76.4142752,5.371030424,183.2453279
,,5.380404012,65.31190856,5.900477176,254.0453764
,,5.920279777,62.54162653,5.899904744,177.4460934
,,6.173885433,69.23235643,6.418350052,248.7720372
,,6.416131874,61.93023928,6.417741842,169.9090088
,,6.945238745,69.38223114,6.935739937,179.9690132
,,6.944827309,53.608638,6.936240815,246.3553406
,,7.198665516,68.65729469,7.465079358,233.2680239
,,7.463004289,63.52104276,7.464667922,180.2360755
,,7.462771738,54.90421005,7.98263024,186.6735333
,,7.716252175,56.18941723,,
,,7.980573059,51.4061771,,
