T10,ACLM10,T20,ACLM20,T40,ACLM40
0,0,0,0,0,0
6,0.140774,6,0.31719,6,0.563912
11,0.231189,11,0.578463,11,1.077465
16,0.288251,16,0.737222,16,1.233771
23,0.370655,23,0.910695,23,1.453352
30,0.433275,30,1.034955,30,1.698111
35,0.460416,35,1.116215,35,1.85033
40,0.500637,40,1.203851,40,1.934369
47,0.553121,47,1.329582,47,2.069256
54,0.605768,54,1.414766,54,2.256791
59,0.620319,59,1.50371,59,2.372876
64,0.671004,64,1.579247,64,2.469668
71,0.729701,71,1.66116,71,2.673225
78,0.776462,78,1.731792,78,2.83182
