T,CXPPM_1,CXPPM_2,CXPPM_4
0,0,NA,NA
1.4,11,NA,NA
1.5,9.5,NA,NA
1.87,8,NA,NA
1.97,7,NA,NA
1.97,8,NA,NA
2.3,6,NA,NA
2.5,6.5,NA,NA
2.6,6.5,NA,NA
2.7,7.5,NA,NA
3,5,NA,NA
3.2,3.5,NA,NA
3.3,3,NA,NA
3.9,3,NA,NA
4.7,3,NA,NA
0,NA,0,NA
2.13,NA,16.5,NA
2.42,NA,15.5,NA
2.58,NA,12.5,NA
2.67,NA,12,NA
2.8,NA,11.5,NA
2.83,NA,11,NA
3.1,NA,8.5,NA
3.2,NA,8.5,NA
3.3,NA,8,NA
3.4,NA,7.75,NA
3.5,NA,7.5,NA
3.8,NA,7,NA
4.2,NA,6.5,NA
4.3,NA,6,NA
5,NA,5,NA
0,NA,NA,0
4.33,NA,NA,17.5
4.5,NA,NA,16.5
4.67,NA,NA,14
4.83,NA,NA,12.5
4.97,NA,NA,11
5.2,NA,NA,10.5
5.2,NA,NA,12.5
7.92,NA,NA,5.5
8,NA,NA,4
